alpha_corr_deg,Cl_corr,Cd_corr,Cm_corr
-22.041910380230874,-0.5189158029900163,0.20965559340827603,-0.0675029376691116
-20.03887013279583,-0.44773634253479244,0.162962701481881,-0.07141114278643539
-18.03566690760183,-0.37839458340703314,0.12294785309679032,-0.07394252030898268
-16.032247069231133,-0.3206882204514835,0.09195586748166625,-0.07239546884163436
-14.026760925093871,-0.20611099390193166,0.05138924247359161,-0.07528879556466511
-12.02379330794169,-0.164856207666012,0.035041268671446656,-0.071592916502903
-10.02153083252656,-0.16375948538064888,0.028875215619541823,-0.061147355234355286
-8.022216187628857,-0.25075819950448974,0.035241766666829794,-0.04258769086091668
-6.030556215134735,-0.29223794848207457,0.030715446090818607,-0.07178669412156252
-4.030333044132492,-0.09399966433928647,0.0065730968510063865,-0.12041361713416374
-2.0101627499578694,0.2830574662735884,-0.009884584532658138,-0.11899182544555156
-0.002209132414997331,0.4880299082669946,0.0,-0.13250155989177442
2.011946184162836,0.713425894247266,0.024913381202452765,-0.12194951255818771
4.016704290538015,0.9346667844146235,0.06535826846360697,-0.15532121744483005
6.01970206390999,1.0564004819454693,0.11103216478917063,-0.17236188276735498
8.018021869968415,1.1760119650118754,0.16527770318276852,-0.21138723388809727
10.017695206199402,1.1675799656791979,0.2058758500839061,-0.21152439734117545
12.011939375165925,1.1453118718348096,0.24344355351706418,-0.23385528775925085
14.00169459928986,1.0254667485587683,0.2556775764002478,-0.25225891371806985
15.990933599103785,0.9357366525100016,0.268318167392636,-0.28072323933980803
17.980117610354643,0.8528236598446391,0.2770992044969556,-0.3110963091650397
19.987058693102473,0.9107365289874447,0.3314809878103482,-0.2936514295933416
21.98520380163493,0.9616105534059332,0.3885158826158556,-0.31629029370225503
